LocationID,LocationType,TypeOfTime,Location,Location_Lat,Location_Long,Year,TotalUsers,NonCyc_OtherUser,CyclistVolume,CycBikeLane,CycAdjacentLane,CyclOtherLane,CycCounterFlowInLane,CycSidewalk,CycCnterFlowOutOfLane,FemaleCyc_Total,MaleCyc_Total,Female_Cyc_Helmet,Male_Cyc_Helmet,Cycl_Helmet_all,Cyc_Under16,Citibike_Male,Citibike_female,Citibike_All,Non_citibikeCyc
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2007,1319,57,1257,828,23,212,118,51,25,219,1038,96,335,431,50,0,0,0,1257
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2008,1489,53,1436,951,113,229,95,27,21,314,1122,144,347,491,74,0,0,0,1436
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2009,1422,42,1380,858,113,258,113,18,20,326,1052,152,341,493,4,0,0,0,1380
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2010,1549,74,1475,783,195,277,146,38,36,301,1174,139,371,510,0,0,0,0,1475
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2011,1323,76,1247,614,265,253,65,14,36,269,978,140,354,494,0,0,0,0,1247
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2012,1368,47,1321,790,144,232,119,4,32,255,1066,146,413,559,0,0,0,0,1321
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2013,1723,44,1679,1211,90,233,115,6,24,376,1303,176,595,771,0,186,78,264,1415
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2014,1860,86,1774,1362,74,179,138,4,17,391,1383,186,598,784,0,274,115,389,1385
2,On-Street,Weekday,Lafayette Street at Astor Pl.,40.72983,-73.991423999999995,2015,2082,85,1997,1551,96,177,133,9,31,439,1558,203,632,835,0,293,146,439,1558
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2005,1008,22,986,466,73,282,94,14,57,167,819,55,149,204,24,0,0,0,986
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2006,981,36,945,480,86,246,91,9,33,142,803,41,162,203,41,0,0,0,945
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2007,1053,35,1018,,,,,,,171,847,69,283,352,36,0,0,0,1018
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2008,880,23,854,499,63,162,98,12,20,177,677,75,175,250,32,0,0,0,854
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2009,1331,28,1303,784,86,243,134,15,41,309,1000,151,291,442,0,0,0,0,1303
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2010,1133,39,1094,729,40,182,110,9,24,236,858,103,275,378,0,0,0,0,1094
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2011,1196,73,1123,704,88,195,85,14,37,215,908,106,342,448,0,0,0,0,1123
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2012,1119,36,1083,763,71,162,63,5,19,213,870,119,356,475,0,0,0,0,1083
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2013,1451,53,1398,1038,52,236,52,7,13,321,1077,171,473,644,0,316,117,433,965
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2014,1571,40,1531,1192,14,254,47,5,19,358,1173,149,515,664,3,313,119,432,1099
3,On-Street,Weekday,Fifth Avenue at 14 St.,40.736015000000002,-73.993634999999998,2015,2104,62,2042,1451,103,350,87,19,32,389,1653,138,598,736,2,487,162,649,1393
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2005,1208,29,1179,728,73,309,44,15,10,143,1036,48,192,240,29,0,0,0,1179
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2006,1307,21,1286,656,228,324,34,16,28,126,1160,51,231,282,26,0,0,0,1286
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2007,1673,65,1608,976,126,415,62,4,25,215,1393,112,473,585,73,0,0,0,1608
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2008,1474,27,1447,857,153,303,80,7,47,210,1237,124,371,495,27,0,0,0,1447
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2009,1810,45,1765,1162,102,363,75,20,43,235,1530,123,481,604,0,0,0,0,1765
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2010,1620,29,1591,1142,95,233,71,11,39,262,1329,141,429,570,0,0,0,0,1591
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2011,1491,49,1442,1061,65,222,61,9,24,173,1269,91,442,533,0,0,0,0,1442
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2012,1950,80,1870,1385,90,305,50,6,34,296,1574,142,696,838,0,0,0,0,1870
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2013,2702,44,2658,2232,56,310,44,5,11,558,2100,234,981,1215,0,513,224,737,1921
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2014,2419,39,2380,1996,60,276,38,0,10,393,1987,167,874,1041,0,476,147,623,1757
4,On-Street,Weekday,Sixth Avenue at W23 St.,40.742896999999999,-73.992805000000004,2015,3303,87,3216,2513,68,526,64,8,37,597,2619,249,1015,1264,0,676,220,896,2320
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2005,898,13,808,303,132,277,37,7,52,62,746,29,125,154,18,0,0,0,808
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2006,723,15,774,327,130,254,25,7,31,52,721,21,130,151,17,0,0,0,774
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2007,648,26,623,235,105,236,13,6,28,55,568,28,209,237,26,0,0,0,623
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2008,727,14,713,224,137,320,8,7,17,58,655,28,168,196,15,0,0,0,713
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2009,869,56,813,474,74,125,103,36,1,107,707,28,166,194,0,0,0,0,813
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2010,1066,70,996,584,17,182,186,3,24,134,862,74,262,336,0,0,0,0,996
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2011,694,75,619,360,50,50,116,2,41,73,546,44,155,199,0,0,0,0,619
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2012,1041,59,982,650,33,140,130,2,27,173,809,84,323,407,0,0,0,0,982
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2013,1535,79,1456,1120,95,27,198,2,14,298,1158,109,394,503,1,506,171,677,779
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2014,1439,80,1359,1006,26,139,165,0,23,245,1114,99,353,452,1,445,124,569,790
5,On-Street,Weekday,Broadway at W28 St.,40.745292999999997,-73.988766999999996,2015,1433,126,1307,928,90,107,141,2,39,223,1084,77,307,384,1,434,120,554,753
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2007,1248,47,1204,555,165,320,69,36,59,136,1068,63,371,434,54,0,0,0,1204
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2008,1396,41,1347,726,129,310,82,16,84,178,1169,79,278,357,59,0,0,0,1347
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2009,1350,62,1288,798,106,262,65,15,42,174,1113,85,336,421,2,0,0,0,1288
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2010,1360,25,1335,938,59,232,71,7,28,255,1080,124,322,446,0,0,0,0,1335
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2011,1404,95,1309,966,49,170,89,8,27,227,1082,127,393,520,5,0,0,0,1309
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2012,1442,61,1381,1138,16,112,95,6,14,286,1095,164,457,621,6,0,0,0,1381
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2013,2037,49,1988,1728,91,111,46,3,9,385,1603,198,717,915,0,512,163,675,1313
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2014,1888,44,1844,1608,65,99,58,8,6,386,1458,190,583,773,8,538,148,686,1158
6,On-Street,Weekday,Eighth Avenue at W28 St.,40.748435000000001,-73.996206000000001,2015,2371,105,2266,2072,34,84,55,4,17,427,1839,163,681,844,3,591,190,781,1485
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2005,500,9,491,322,12,97,12,11,37,19,472,10,70,80,8,0,0,0,491
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2006,467,17,463,224,49,135,25,18,12,22,441,10,57,67,11,0,0,0,463
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2007,412,30,383,189,67,99,12,11,5,25,358,12,99,111,27,0,0,0,383
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2008,420,1,419,245,19,107,22,3,23,32,387,14,82,96,1,0,0,0,419
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2009,462,1,461,252,30,136,24,5,14,32,429,15,96,111,0,0,0,0,461
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2010,459,2,457,242,38,126,29,10,12,31,426,15,95,110,0,0,0,0,457
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2011,510,37,473,361,6,75,18,7,6,59,414,31,153,184,0,0,0,0,473
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2012,600,7,593,469,8,90,19,5,2,69,524,49,198,247,3,0,0,0,593
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2013,693,8,685,541,1,91,42,0,10,76,609,54,325,379,0,,1,1,684
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2014,877,7,870,710,0,69,69,0,22,120,750,84,389,473,1,,1,1,869
7,On-Street,Weekday,First Avenue at E85 St.,40.77619,-73.949854999999999,2015,1028,10,1018,808,0,122,77,1,10,130,888,78,425,503,6,28,9,37,981
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2005,802,38,764,300,19,16,76,76,277,139,625,84,152,236,38,0,0,0,764
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2006,707,29,678,316,10,17,51,58,226,151,527,81,137,218,21,0,0,0,678
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2007,733,40,692,276,43,48,48,61,216,151,541,88,163,251,41,0,0,0,692
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2008,810,14,793,350,24,49,85,32,253,140,653,68,217,285,26,0,0,0,793
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2009,718,18,700,350,12,16,46,41,235,155,545,99,189,288,2,0,0,0,700
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2010,879,24,855,392,36,32,64,41,290,181,674,114,244,358,29,0,0,0,855
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2011,775,20,755,406,37,9,42,37,224,176,579,101,243,344,18,0,0,0,755
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2012,931,16,915,409,90,28,45,24,319,196,719,131,302,433,10,0,0,0,915
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2013,980,17,963,500,44,26,42,17,334,199,764,135,309,444,12,6,2,8,955
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2014,933,14,919,494,7,14,19,29,356,203,716,141,333,474,9,6,3,9,910
8,On-Street,Weekday,Central Park West at W93 St.,40.789748000000003,-73.966116999999997,2015,1036,41,995,496,70,24,31,39,335,192,803,116,314,430,24,21,8,29,966
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2005,319,18,301,200,31,16,28,23,3,38,263,18,54,72,7,0,0,0,301
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2006,301,14,287,220,16,14,21,16,0,28,259,13,81,94,7,0,0,0,287
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2007,317,16,301,206,35,28,15,11,6,55,246,30,81,111,7,0,0,0,301
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2008,529,31,498,393,17,27,24,6,31,86,412,73,133,206,25,0,0,0,498
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2009,433,13,420,293,43,21,31,24,8,54,366,38,95,133,6,0,0,0,420
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2010,383,10,373,286,11,27,29,18,2,69,304,34,91,125,0,0,0,0,373
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2011,406,6,400,314,23,28,17,13,5,63,338,41,116,157,2,0,0,0,400
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2012,425,1,424,370,14,17,11,6,6,70,354,44,122,166,5,0,0,0,424
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2013,623,10,613,475,21,67,20,21,9,99,514,56,220,276,11,3,2,5,608
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2014,672,30,642,491,50,78,13,9,1,116,526,70,281,351,8,3,1,4,638
9,On-Street,Weekday,Adam Clayton at W113th St. (NB+SB),40.801268999999998,-73.953864999999993,2015,723,25,698,461,101,81,19,31,5,100,598,53,262,315,15,3,1,4,694
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2005,590,42,548,406,51,0,9,78,4,52,496,44,247,291,1,0,0,0,548
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2006,383,25,358,277,20,0,8,47,6,62,296,55,168,223,4,0,0,0,358
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2007,437,31,413,301,29,2,10,61,10,32,381,28,207,235,17,0,0,0,413
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2008,538,27,510,401,32,2,7,68,0,63,447,42,222,264,2,0,0,0,510
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2009,355,9,346,294,3,0,10,39,0,29,315,27,133,160,4,0,0,0,346
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2010,407,1,406,339,22,0,8,35,2,56,350,41,179,220,10,0,0,0,406
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2011,542,6,536,447,27,3,8,48,3,61,475,52,271,323,0,0,0,0,536
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2012,601,30,571,452,65,0,14,35,5,76,495,66,289,355,8,0,0,0,571
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2013,545,7,538,493,4,2,13,24,2,67,471,52,341,393,1,,,0,538
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2014,576,5,571,531,18,3,3,16,0,80,491,52,303,355,2,,,0,571
10,On-Street,Weekday,Fort Washington at W173 St. (NB +SB),40.845373000000002,-73.940535999999994,2015,666,12,654,627,1,1,3,21,1,77,577,49,390,439,0,,,0,654
